"class","apsig","perinc","pcygsig","mxy","fwx","fwy","neighbordist","new1sig","new2sig","sub1sig","sub2sig","sub2minsub1","dsub1sub2","holeinref","bigapratio","relfwx","relfwy","roundness","wiggliness"
"SN",0.476914,0.0138277,0.322373,-0.0545793,-0.176136,0.148329,0.374037,0.317807,0.341471,0.305721,0.292113,-0.264004,-0.950835,-0.135765,-0.722792,-0.517546,-0.0262733,-0.996565,-0.772274
"SN",0.214759,-0.344928,0.0159703,0.0278591,-0.191662,0.197265,0.250778,0.112008,0.0753539,0.107345,0.0554123,-0.113699,-0.890182,-0.157339,-0.449664,-0.507545,0.0402577,-0.989583,-0.774017
"SN",0.178918,-0.494642,-0.109551,0.0450812,-0.199121,0.101505,-0.107863,0.0912505,0.102697,0.00333889,-0.0258209,-0.109584,-0.836185,0.0993431,-0.696111,-0.537951,-0.0640811,-0.991409,-0.822195
"SN",0.246694,-0.404284,0.0534792,0.0467267,-0.225713,0.166176,0.0135604,0.151098,0.12162,0.0795447,0.0530843,0.133577,-0.914728,0.124669,-0.742658,-0.518907,0.0221393,-0.999886,-0.79546
"SN",0.325994,-0.378514,0.135153,-0.0917646,-0.193049,0.117612,-0.0935419,0.227849,0.234291,0.166912,0.162423,0.162182,-0.923782,0.0715414,-0.780798,-0.490266,-0.027494,-0.969424,-0.751642
"SN",0.395653,0.0125788,0.205256,0.0469898,-0.155021,0.153138,0.0384517,0.29577,0.191419,0.278049,0.15122,-0.234741,-0.944146,-0.0794083,-0.782077,-0.48738,-0.00688762,-0.997804,-0.932015
"SN",0.255545,-0.549917,0.0584963,0.0672236,-0.242413,0.133342,0.069642,0.271964,0.206121,0.167064,0.0722609,-0.0863804,-0.811753,0.16072,-0.757284,-0.560909,-0.0178093,-0.990144,-0.803742
"SN",0.35596,-0.519658,0.0348591,0.0624577,-0.250024,0.0928023,-0.303175,0.339261,0.279525,0.232062,0.125056,-0.172205,-0.908784,0.282808,-0.257438,-0.553751,-0.0528587,-0.993546,-0.826229
"SN",0.380276,-0.25762,0.178765,0.0597495,-0.199963,0.133646,0.0445368,0.323681,0.294151,0.27154,0.207845,-0.231336,-0.980642,0.0402554,-0.823185,-0.53361,-0.0262534,-0.997152,-0.85712
"SN",0.375665,-0.48292,0.116645,0.0310019,-0.223268,0.111053,-0.267618,0.417571,0.353979,0.14288,0.0777528,-0.138511,-0.939759,0.0620156,-0.824569,-0.539544,-0.0416862,-0.999559,-0.883967
"SN",0.625859,0.182019,0.441522,0.0487914,-0.197822,0.134438,0.46371,0.589353,0.560817,0.573219,0.490968,-0.13179,-0.972451,0.0478176,-0.840192,-0.51498,-0.0257251,-0.999253,-0.862227
"SN",0.622286,0.0399668,0.3998,0.0348338,-0.204428,0.116034,0.0882022,0.552047,0.516343,0.542998,0.487415,0.0884271,-0.99461,0.0727126,-0.825575,-0.515725,-0.0265097,-0.998633,-0.870621
"SN",0.376917,-0.0872715,0.201199,0.0362637,-0.223066,0.135166,0.275296,0.270144,0.28668,0.253176,0.233695,-0.147843,-0.981179,-0.161796,-0.782454,-0.530447,-0.0134551,-0.998231,-0.915002
"SN",0.159195,-0.712624,-0.253046,0.0216154,-0.118202,0.182958,-0.178876,0.272781,0.232153,-0.00270397,-0.0505571,-0.00483884,-0.810553,0.22996,-0.681758,-0.499377,0.0125139,-0.989411,-0.835342
"SN",0.195395,-0.16756,-0.0585856,0.012614,-0.157504,0.111339,0.293727,0.0877678,0.0375726,0.0572612,-0.00650074,0.00214812,-0.826499,-0.0740798,-0.564172,-0.514429,-0.0355117,-0.977812,-0.80403
"SN",0.18844,-0.312061,0.0261871,0.0426071,-0.241205,0.0198151,0.134173,0.101635,0.0786935,0.0529236,0.0146121,0.0303988,-0.865719,-0.104454,-0.760852,-0.553002,-0.0996299,-0.950107,-0.918643
"SN",0.559988,-0.50125,0.231404,0.0297029,-0.207719,0.13044,-0.361974,0.596228,0.583317,0.47462,0.438822,0.122202,-0.953921,0.374178,-0.722792,-0.537895,-0.0382279,-0.997004,-0.935974
"SN",0.257753,-0.103768,0.133897,0.0141938,-0.221394,0.0837771,0.225625,0.174305,0.104411,0.159283,0.0702641,-0.112676,-0.905734,-0.158561,-0.823922,-0.528221,-0.0623443,-0.967367,-0.825577
"SN",0.290252,-0.601264,0.0559167,0.0570222,-0.173847,0.131123,-0.0787894,0.33583,0.31973,0.153545,0.0905857,-0.154486,-0.97141,0.207748,-0.824611,-0.52571,-0.0190028,-0.999113,-0.863693
"SN",0.448133,-0.0253847,0.202263,0.0303832,-0.197284,0.14341,0.0130252,0.372727,0.353692,0.344494,0.299087,-0.155246,-0.909741,0.00561822,-0.722792,-0.51148,-0.0163784,-0.999861,-0.906065
"SN",0.412406,0.196707,0.244759,0.0217967,-0.180767,0.163816,0.202263,0.333058,0.221401,0.319754,0.178547,-0.0978965,-0.946716,-0.0274407,-0.79412,-0.530422,-0.0262142,-0.99913,-0.948071
"SN",0.359301,-0.305088,0.174584,0.177188,-0.208043,0.159111,0.215884,0.245942,0.229093,0.228815,0.177302,-0.183524,-0.973341,0.0900308,-0.755244,-0.551903,-0.0344167,-0.954402,-0.720143
"SN",0.258932,-0.137654,0.060247,0.0471673,-0.192128,0.117358,0.0908377,0.164425,0.0542791,0.139236,0.00768468,-0.183216,-0.86242,0.021289,-0.79271,-0.529008,-0.0471232,-0.999507,-0.933726
"SN",0.274822,-0.18082,0.00886665,0.058642,-0.160313,0.163044,0.387006,0.154904,0.148514,0.13212,0.0943024,-0.0555031,-0.89615,-0.0258057,-0.77562,-0.487664,0.00503828,-0.990513,-0.838386
"SN",0.196828,-0.721064,-0.444423,0.0486053,-0.298448,0.0890196,0.146473,0.335133,0.286929,0.0547317,-0.0564449,-0.133566,-0.842467,0.374263,-0.722584,-0.595668,-0.0587364,-0.990693,-0.835651
"SN",0.278818,-0.203148,-0.00013685,0.0552812,-0.13819,0.143783,0.200523,0.1455,0.158014,0.127014,0.114461,0.00123012,-0.974029,-0.0726135,-0.561008,-0.472957,-0.0211963,-0.982816,-0.82498
"SN",0.193437,-0.464163,-0.0695794,0.0514902,-0.24705,0.116481,-0.0949305,0.161056,-0.00373652,0.0877532,-0.138522,-0.215718,-0.730872,-0.0131234,-0.582584,-0.542937,-0.0317708,-0.993192,-0.801361
"SN",0.510858,0.00456881,0.26654,0.0291704,-0.188514,0.118662,-0.325282,0.444714,0.439932,0.409319,0.375092,-0.0217284,-0.993583,0.0391803,-0.83079,-0.510428,-0.0303344,-0.999421,-0.950137
"SN",0.357347,-0.549144,0.0798215,0.03982,-0.205422,0.127792,0.166162,0.405615,0.376836,0.244743,0.191049,-0.0606714,-0.919589,0.276508,-0.684002,-0.510846,-0.0217515,-0.999405,-0.894396
"SN",0.648664,-0.388499,0.385694,0.0207964,-0.210308,0.0996512,-0.377847,0.628053,0.608322,0.56989,0.532221,-0.0128953,-0.975839,0.336205,-0.833648,-0.510974,-0.0361694,-0.997886,-0.952676
"SN",0.448075,0.0830182,0.238294,0.0387257,-0.21267,0.109889,0.0924792,0.326967,0.339663,0.320453,0.299248,-0.125558,-0.905348,-0.024942,-0.816844,-0.514796,-0.0229814,-0.999807,-0.901419
"SN",0.475583,-0.392947,0.306593,0.0274379,-0.197417,0.170056,-0.0687112,0.355659,0.488078,0.301919,0.395348,0.146478,-0.97001,0.209136,-0.813228,-0.533581,-0.0272478,-0.999829,-0.945482
"SN",0.470998,-0.474308,0.206282,0.0279318,-0.232195,0.0933611,-0.225749,0.496247,0.465223,0.36274,0.319663,0.0538577,-0.961959,0.185126,-0.826851,-0.537794,-0.0451735,-0.996932,-0.89136
"SN",0.318483,-0.158325,0.0935942,0.0575925,-0.235628,0.110992,0.13972,0.213628,0.188544,0.176822,0.137392,0.0264631,-0.912335,-0.0338939,-0.827805,-0.52849,-0.0303528,-0.962743,-0.593751
"SN",0.271488,-0.112936,0.0512738,0.0267524,-0.2372,0.124451,0.197666,0.213182,0.139276,0.119305,0.0473453,-0.150372,-0.942424,-0.0508549,-0.703335,-0.551175,-0.00805638,-0.99589,-0.729995
"SN",0.413863,-0.220642,0.19817,-0.00426004,-0.163394,0.161855,-0.244362,0.307849,0.340375,0.28305,0.279454,0.00337378,-0.939315,0.0536621,-0.771505,-0.517272,-0.0129397,-0.980604,-0.862285
"SN",0.668516,-0.15453,0.426589,0.0401478,-0.212021,0.118193,0.271668,0.62356,0.558042,0.600486,0.510543,0.33373,-0.974357,0.184999,-0.82951,-0.537726,-0.0259747,-0.988705,-0.623992
"SN",0.442195,0.0674702,0.25829,0.0952341,-0.199508,0.104177,0.20992,0.340036,0.316138,0.328106,0.273617,-0.00755025,-0.943419,-0.174967,-0.83662,-0.521384,-0.037146,-0.999975,-0.770751
"SN",0.331754,-0.794534,0.139822,0.0500997,-0.165805,0.143704,-0.148214,0.604635,0.575304,0.189196,0.195119,0.195212,-0.934488,0.420746,-0.61825,-0.522966,-0.0135555,-0.995639,-0.78246
"SN",0.571035,0.010917,0.470358,0.0532021,-0.217959,0.1263,-0.512649,0.548326,0.496075,0.484875,0.428793,0.191714,-0.966497,-0.00892103,-0.840206,-0.535599,-0.0321409,-0.990275,-0.939982
"SN",0.252523,-0.648162,0.172101,0.0590648,-0.200318,0.207296,-0.17726,0.280316,0.437051,0.0853783,0.0971787,-0.252518,-0.784917,0.293955,-0.784169,-0.512225,0.0484427,-0.985362,-0.663649
"SN",0.282773,-0.300652,0.136643,0.0648618,-0.169131,0.143919,-0.136963,0.160808,0.20128,0.127364,0.123634,-0.214731,-0.901196,-0.0765174,-0.832917,-0.518817,-0.0382209,-0.994334,-0.939529
"SN",0.327323,-0.295477,0.124423,0.0610091,-0.0563253,0.206793,-0.0584607,0.243733,0.27489,0.174181,0.165681,-0.0395507,-0.900084,0.126723,-0.618966,-0.37978,0.039739,-0.993059,-0.90597
"SN",0.48444,-0.166242,0.258193,0.0749305,-0.176749,0.143688,-0.0512878,0.375826,0.347947,0.348486,0.291291,0.141806,-0.807087,-0.0269868,-0.826985,-0.519134,-0.0290638,-0.997413,-0.935397
"SN",0.283044,-0.441824,0.0342492,0.0256908,-0.175437,0.17255,-0.409435,0.25037,0.172399,0.152307,0.030508,-0.224098,-0.952939,0.122829,-0.706873,-0.509189,0.00794626,-0.99401,-0.827167
"SN",0.320135,0.166168,0.234674,-0.153971,-0.161963,0.149516,0.0352996,0.200325,0.164762,0.190978,0.125114,-0.156218,-0.974121,-0.14216,-0.840206,-0.471972,0.00717025,-0.998515,-0.496515
"SN",0.425953,-0.409218,0.183856,0.0377231,-0.207206,0.10954,0.073692,0.388631,0.352093,0.31245,0.243024,-0.209428,-0.98601,0.173656,-0.702764,-0.539122,-0.0388241,-0.998545,-0.883174
"SN",0.324018,-0.647295,0.168345,0.029747,-0.238415,0.135588,-0.407779,0.411473,0.370773,0.114558,0.189081,0.284525,-0.834188,0.367564,-0.838805,-0.524897,0.00754892,-0.992107,-0.80805
"SN",0.495289,-0.19962,0.257596,0.0494916,-0.201434,0.10892,-0.0540761,0.430688,0.393041,0.398288,0.338192,0.0188519,-0.949309,0.0363645,-0.820414,-0.510143,-0.0328396,-0.993103,-0.84311
"SN",0.323842,-0.192986,0.0982071,0.0383878,-0.203152,0.112509,0.00327618,0.2503,0.182577,0.218372,0.141596,-0.181544,-0.976605,-0.119653,-0.830657,-0.493382,-0.0124742,-0.998202,-0.845817
"SN",0.09119,-0.147601,-0.343162,0.041239,-0.205632,0.0891814,0.260981,0.019175,0.0301096,-0.0247628,-0.0250603,0.0419931,-0.856965,-0.13561,-0.718622,-0.518012,-0.0539045,-0.997339,-0.839864
"SN",0.50866,-0.0698962,0.308751,0.0539113,-0.178683,0.151308,-0.202966,0.430656,0.369187,0.412609,0.32205,-0.0903146,-0.963349,-0.0160435,-0.821075,-0.52313,-0.0253593,-0.997824,-0.919125
"SN",0.356267,0.108107,0.220943,0.129159,-0.227457,0.12532,0.176226,0.258245,0.235152,0.244863,0.192507,-0.144703,-0.952025,-0.167987,-0.848968,-0.521585,-0.0137154,-0.987632,-0.858323
"SN",0.450834,-0.290051,0.215961,0.0247245,-0.208894,0.149538,0.0727208,0.389262,0.349154,0.333102,0.271386,0.0797753,-0.978239,-0.0840236,-0.794443,-0.546451,-0.0373176,-0.998645,-0.928873
"SN",0.203566,-0.108164,-0.35124,0.0429093,-0.263324,0.104332,0.0529628,0.120103,-0.0110806,0.108559,-0.0398985,-0.228038,-0.9335,-0.130591,-0.722792,-0.542689,-0.0289246,-0.99713,-0.8632
"SN",0.1879,-0.205397,0.0274559,0.0414261,-0.173755,0.157045,0.34141,-0.0693857,0.233455,-0.0707435,0.175347,0.190057,0.802318,-0.192316,-0.686127,-0.481186,-0.00477858,-0.994045,-0.874716
