"ADDISON COUNTY",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Town Name",BADNARIK-M,,BUSH-R,,CALERO-O,,KERRY-D,,NADER-I,,PARKER-L,,Write-Ins,,"Town Total"
"Franklin County Totals",73,0.003,8936,0.448,10,0,10598,0.532,239,0.012,9,0,55,0.002,19920
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"GRAND ISLE COUNTY",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Town Name",BADNARIK-M,,BUSH-R,,CALERO-O,,KERRY-D,,NADER-I,,PARKER-L,,Write-Ins,,"Town Total"
Alburg,3,0.003,437,0.482,1,0.001,446,0.492,15,0.016,1,0.001,2,0.002,905
"Grand Isle",3,0.002,502,0.422,1,0,666,0.561,13,0.011,0,0,2,0.001,1187
"Isle LaMotte",0,0,143,0.459,0,0,167,0.537,1,0.003,0,0,0,0,311
"North Hero",2,0.003,279,0.486,0,0,283,0.493,9,0.015,0,0,0,0,573
"South Hero",8,0.007,393,0.356,0,0,684,0.621,10,0.009,6,0.005,0,0,1101
,,,,,,,,,,,,,,,
"Grand Isle County Totals",16,0.003,1754,0.43,2,0,2246,0.55,48,0.011,7,0.001,4,0.001,4077
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"LAMOILLE COUNTY",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Town Name",BADNARIK-M,,BUSH-R,,CALERO-O,,KERRY-D,,NADER-I,,PARKER-L,,Write-Ins,,"Town Total"
Belvidere,1,0.006,72,0.5,0,0,66,0.458,5,0.034,0,0,0,0,144
Cambridge,8,0.004,602,0.343,0,0,1097,0.625,43,0.024,2,0.001,2,0.001,1754
Eden,0,0,212,0.454,1,0.002,243,0.52,7,0.015,3,0.006,1,0.002,467
Elmore,2,0.004,145,0.313,0,0,308,0.666,5,0.01,1,0.002,1,0.002,462
"Hyde Park",6,0.004,544,0.362,1,0,933,0.621,14,0.009,1,0,2,0.001,1501
Johnson,2,0.001,494,0.327,2,0.001,970,0.642,34,0.022,3,0.002,5,0.003,1510
Morristown,9,0.003,881,0.355,1,0,1551,0.625,29,0.011,2,0,8,0.003,2481
Stowe,10,0.003,939,0.335,1,0,1792,0.64,44,0.015,2,0,8,0.002,2796
Waterville,1,0.003,130,0.385,0,0,203,0.602,2,0.005,0,0,1,0.003,337
Wolcott,2,0.002,241,0.33,1,0.001,473,0.648,11,0.015,0,0,1,0.001,729
,,,,,,,,,,,,,,,
"Lamoille County Totals",41,0.003,4260,0.349,7,0,7636,0.626,194,0.015,14,0.001,29,0.002,12181
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"ORANGE COUNTY",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Town Name",BADNARIK-M,,BUSH-R,,CALERO-O,,KERRY-D,,NADER-I,,PARKER-L,,Write-Ins,,"Town Total"
Bradford,4,0.003,632,0.481,0,0,659,0.501,10,0.007,1,0,8,0.006,1314
Braintree,4,0.006,285,0.472,1,0.001,307,0.509,6,0.01,0,0,0,0,603
Brookfield,2,0.002,317,0.434,0,0,399,0.547,10,0.013,0,0,1,0.001,729
Chelsea,2,0.002,333,0.473,0,0,361,0.512,8,0.011,0,0,0,0,704
Corinth,2,0.002,300,0.433,0,0,373,0.539,13,0.018,1,0.001,3,0.004,692
Fairlee,2,0.003,223,0.377,0,0,361,0.61,1,0.001,0,0,4,0.006,591
"Newbury - Town Office Building",3,0.005,238,0.407,1,0.001,335,0.573,5,0.008,1,0.001,1,0.001,584
"Newbury - Townhouse",0,0,123,0.525,0,0,108,0.461,0,0,0,0,3,0.012,234
"Newbury - Wells River",1,0.003,146,0.501,0,0,140,0.481,4,0.013,0,0,0,0,291
Orange,1,0.002,290,0.593,0,0,190,0.388,6,0.012,1,0.002,1,0.002,489
Randolph,16,0.006,914,0.392,1,0,1348,0.578,38,0.016,4,0.001,8,0.003,2329
Strafford,4,0.005,159,0.226,1,0.001,526,0.75,10,0.014,0,0,1,0.001,701
Thetford,7,0.004,441,0.276,0,0,1125,0.705,17,0.01,1,0,4,0.002,1595
Topsham,2,0.003,311,0.562,0,0,228,0.412,9,0.016,1,0.001,2,0.003,553
Tunbridge,4,0.005,297,0.429,0,0,379,0.547,11,0.015,0,0,1,0.001,692
Vershire,2,0.005,138,0.386,0,0,211,0.591,5,0.014,1,0.002,0,0,357
Washington,4,0.007,257,0.485,0,0,256,0.483,8,0.015,1,0.001,3,0.005,529
"West Fairlee",0,0,152,0.47,0,0,164,0.507,5,0.015,0,0,2,0.006,323
Williamstown,4,0.002,865,0.545,1,0,689,0.434,24,0.015,2,0.001,0,0,1585
,,,,,,,,,,,,,,,
"Orange County Totals",64,0.004,6421,0.431,5,0,8159,0.547,190,0.012,14,0,42,0.002,14895
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"ORLEANS COUNTY",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Town Name",BADNARIK-M,,BUSH-R,,CALERO-O,,KERRY-D,,NADER-I,,PARKER-L,,Write-Ins,,"Town Total"
Albany,4,0.008,204,0.425,0,0,265,0.552,6,0.012,0,0,1,0.002,480
Barton,10,0.007,606,0.471,1,0,648,0.503,19,0.014,1,0,1,0,1286
Brownington,5,0.013,193,0.51,1,0.002,172,0.455,6,0.015,0,0,1,0.002,378
Charleston,2,0.004,218,0.496,0,0,213,0.485,3,0.006,2,0.004,1,0.002,439
Coventry,0,0,205,0.519,1,0.002,185,0.468,3,0.007,0,0,1,0.002,395
Craftsbury,1,0.001,216,0.324,0,0,430,0.646,14,0.021,2,0.003,2,0.003,665
Derby,6,0.002,1012,0.47,1,0,1104,0.513,26,0.012,0,0,3,0.001,2152
Glover,3,0.005,246,0.45,0,0,285,0.522,8,0.014,0,0,4,0.007,546
Greensboro,2,0.004,148,0.35,0,0,263,0.623,7,0.016,0,0,2,0.004,422
Holland,2,0.006,141,0.47,0,0,152,0.506,3,0.01,0,0,2,0.006,300
Irasburg,2,0.003,300,0.53,0,0,260,0.459,2,0.003,1,0.001,1,0.001,566
Jay,1,0.004,78,0.382,0,0,125,0.612,0,0,0,0,0,0,204
Lowell,1,0.003,152,0.452,1,0.003,178,0.529,1,0.003,2,0.006,1,0.003,336
Morgan,0,0,199,0.551,0,0,159,0.44,2,0.005,0,0,1,0.002,361
"Newport City",8,0.004,835,0.475,1,0,887,0.505,17,0.009,3,0.001,4,0.002,1755
"Newport Town",3,0.003,392,0.493,1,0.001,381,0.479,14,0.017,3,0.003,1,0.001,795
Troy,6,0.009,300,0.455,0,0,349,0.529,2,0.003,2,0.003,0,0,659
Westfield,0,0,127,0.441,0,0,155,0.538,5,0.017,0,0,1,0.003,288
Westmore,0,0,94,0.437,0,0,119,0.553,2,0.009,0,0,0,0,215
,,,,,,,,,,,,,,,
"Orleans County Totals",56,0.004,5666,0.462,7,0,6330,0.517,140,0.011,16,0.001,27,0.002,12242
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"RUTLAND COUNTY",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Town Name",BADNARIK-M,,BUSH-R,,CALERO-O,,KERRY-D,,NADER-I,,PARKER-L,,Write-Ins,,"Town Total"
Benson,2,0.003,251,0.482,1,0.001,256,0.492,5,0.009,4,0.007,1,0.001,520
Brandon,8,0.004,851,0.436,1,0,1054,0.54,28,0.014,0,0,9,0.004,1951
Castleton,9,0.004,894,0.471,0,0,949,0.5,34,0.017,1,0,9,0.004,1896
Chittenden,2,0.002,343,0.478,0,0,366,0.51,3,0.004,3,0.004,0,0,717
Clarendon,8,0.005,762,0.556,1,0,579,0.422,13,0.009,2,0.001,4,0.002,1369
Danby,0,0,360,0.496,0,0,356,0.491,9,0.012,0,0,0,0,725
"Fair Haven",8,0.006,595,0.474,0,0,627,0.499,21,0.016,1,0,3,0.002,1255
Hubbardton,2,0.005,151,0.444,0,0,177,0.52,7,0.02,1,0.002,2,0.005,340
"Ira - Rutland 1-1",0,0,19,0.678,0,0,9,0.321,0,0,0,0,0,0,28
"Ira - Rutland 1-2",0,0,79,0.448,0,0,95,0.539,2,0.011,0,0,0,0,176
Killington,4,0.006,263,0.4,0,0,379,0.577,7,0.01,0,0,3,0.004,656
Mendon,1,0.001,300,0.464,1,0.001,337,0.521,5,0.007,1,0.001,1,0.001,646
"Middletown Springs",2,0.004,207,0.434,1,0.002,262,0.549,5,0.01,0,0,0,0,477
"Mount Holly",1,0.001,334,0.453,2,0.002,387,0.525,11,0.014,0,0,2,0.002,737
"Mount Tabor",0,0,60,0.545,0,0,49,0.445,1,0.009,0,0,0,0,110
Pawlet,5,0.006,356,0.472,0,0,385,0.51,8,0.01,0,0,0,0,754
Pittsfield,0,0,130,0.483,0,0,135,0.501,4,0.014,0,0,0,0,269
Pittsford,7,0.004,740,0.498,3,0.002,720,0.484,7,0.004,1,0,7,0.004,1485
Poultney,10,0.006,675,0.434,4,0.002,840,0.54,21,0.013,2,0.001,2,0.001,1554
Proctor,3,0.003,398,0.433,0,0,501,0.545,12,0.013,0,0,4,0.004,918
"Rutland City - Rutland 5-1",11,0.004,1026,0.443,2,0,1249,0.54,16,0.006,1,0,7,0.003,2312
