"ADDISON COUNTY",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Town Name",BADNARIK-M,,BUSH-R,,CALERO-O,,KERRY-D,,NADER-I,,PARKER-L,,Write-Ins,,"Town Total"
"Town Name",BADNARIK-M,,BUSH-R,,CALERO-O,,KERRY-D,,NADER-I,,PARKER-L,,Write-Ins,,"Town Total"
Athens,0,0,61,0.442,0,0,75,0.543,2,0.014,0,0,0,0,138
"Brattleboro - Windham 3-1",8,0.003,662,0.285,0,0,1608,0.694,25,0.01,3,0.001,10,0.004,2316
"Brattleboro - Windham 3-2",5,0.002,390,0.208,5,0.002,1432,0.767,27,0.014,2,0.001,6,0.003,1867
"Brattleboro - Windham 3-3",3,0.001,356,0.189,1,0,1460,0.776,46,0.024,4,0.002,10,0.005,1880
Brookline,1,0.003,110,0.381,0,0,164,0.569,11,0.038,0,0,2,0.006,288
Dover,6,0.008,334,0.455,0,0,382,0.521,9,0.012,0,0,2,0.002,733
Dummerston,2,0.001,317,0.279,0,0,790,0.696,17,0.015,2,0.001,6,0.005,1134
Grafton,2,0.005,133,0.372,0,0,217,0.607,4,0.011,0,0,1,0.002,357
Guilford,1,0,380,0.313,1,0,812,0.668,14,0.011,1,0,5,0.004,1214
Halifax,1,0.002,172,0.401,2,0.004,245,0.572,6,0.014,0,0,2,0.004,428
Jamaica,4,0.008,167,0.336,0,0,311,0.625,14,0.028,0,0,1,0.002,497
Londonderry,1,0.001,446,0.449,0,0,529,0.533,14,0.014,1,0.001,1,0.001,992
Marlboro,3,0.005,89,0.156,5,0.008,452,0.794,17,0.029,0,0,3,0.005,569
Newfane,2,0.001,304,0.291,0,0,713,0.683,18,0.017,1,0.001,6,0.005,1044
Putney,5,0.003,248,0.184,0,0,1066,0.793,21,0.015,0,0,4,0.003,1344
Rockingham,8,0.003,743,0.302,2,0,1656,0.675,35,0.014,2,0,7,0.002,2453
Stratton,1,0.007,63,0.47,0,0,67,0.5,2,0.014,0,0,1,0.007,134
Townshend,0,0,243,0.368,1,0.001,404,0.613,8,0.012,0,0,3,0.004,659
Vernon,1,0,601,0.531,0,0,510,0.451,11,0.009,0,0,7,0.006,1130
Wardsboro,1,0.002,169,0.416,0,0,231,0.569,5,0.012,0,0,0,0,406
"Westminster - Windham-4",1,0.01,27,0.275,0,0,67,0.683,3,0.03,0,0,0,0,98
"Westminster - Windham-5",2,0.001,408,0.259,1,0,1136,0.721,20,0.012,2,0.001,6,0.003,1575
Whitingham,3,0.004,289,0.457,0,0,332,0.525,6,0.009,1,0.001,1,0.001,632
Wilmington,1,0,479,0.398,0,0,696,0.579,23,0.019,0,0,3,0.002,1202
Windham,0,0,89,0.393,0,0,134,0.592,3,0.013,0,0,0,0,226
,,,,,,,,,,,,,,,
"Windham County Totals",62,0.002,7280,0.312,18,0,15489,0.664,361,0.015,19,0,87,0.003,23316
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"WINDSOR COUNTY",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Town Name",BADNARIK-M,,BUSH-R,,CALERO-O,,KERRY-D,,NADER-I,,PARKER-L,,Write-Ins,,"Town Total"
Andover,1,0.003,128,0.416,0,0,173,0.563,2,0.006,0,0,3,0.009,307
Baltimore,3,0.024,65,0.52,0,0,53,0.424,4,0.032,0,0,0,0,125
Barnard,3,0.005,223,0.393,0,0,333,0.587,6,0.01,0,0,2,0.003,567
Bethel,4,0.003,400,0.392,0,0,596,0.585,14,0.013,0,0,4,0.003,1018
Bridgewater,1,0.001,248,0.429,33,0.057,288,0.499,6,0.01,1,0.001,0,0,577
Cavendish,3,0.004,328,0.448,1,0.001,383,0.523,10,0.013,3,0.004,4,0.005,732
Chester,9,0.005,615,0.371,1,0,998,0.602,27,0.016,2,0.001,4,0.002,1656
"Hartford - Windsor 6-1",3,0.002,533,0.44,0,0,657,0.543,11,0.009,0,0,6,0.005,1210
"Hartford - Windsor 6-2",7,0.001,1363,0.372,1,0,2257,0.616,29,0.007,2,0,1,0,3660
Hartland,7,0.003,680,0.365,16,0.008,1104,0.593,41,0.022,4,0.002,8,0.004,1860
Ludlow,1,0,593,0.466,0,0,664,0.522,10,0.007,1,0,2,0.001,1271
Norwich,6,0.002,374,0.162,0,0,1893,0.819,21,0.009,0,0,15,0.006,2309
Plymouth,3,0.008,138,0.41,0,0,191,0.568,4,0.011,0,0,0,0,336
Pomfret,0,0,216,0.345,0,0,401,0.641,3,0.004,0,0,5,0.008,625
Reading,0,0,145,0.349,0,0,263,0.633,7,0.016,0,0,0,0,415
Rochester,4,0.005,215,0.307,0,0,436,0.623,41,0.058,0,0,3,0.004,699
Royalton,4,0.002,589,0.398,2,0.001,856,0.579,22,0.014,2,0.001,2,0.001,1477
Sharon,5,0.006,287,0.397,0,0,414,0.572,15,0.02,1,0.001,1,0.001,723
"Springfield - Windsor 1-1",0,0,23,0.469,0,0,24,0.489,2,0.04,0,0,0,0,49
"Springfield - Windsor 1-2",17,0.003,1800,0.404,5,0.001,2538,0.57,64,0.014,6,0.001,18,0.004,4448
Stockbridge,4,0.01,141,0.379,0,0,218,0.586,6,0.016,0,0,3,0.008,372
Weathersfield,2,0.001,691,0.444,0,0,829,0.532,28,0.018,1,0,5,0.003,1556
Weston,1,0.002,128,0.329,0,0,250,0.642,7,0.018,0,0,3,0.007,389
"West Windsor",1,0.001,243,0.378,0,0,391,0.609,6,0.009,1,0.001,0,0,642
Windsor,12,0.006,617,0.355,0,0,1091,0.627,11,0.006,1,0,6,0.003,1738
Woodstock,7,0.003,708,0.352,1,0,1260,0.628,20,0.01,0,0,10,0.005,2006
,,,,,,,,,,,,,,,
"Windsor County Totals",108,0.003,11491,0.373,60,0.002,18561,0.603,417,0.013,25,0,105,0.003,30767
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"STATE TOTALS",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"County Name",BADNARIK-M,,BUSH-R,,CALERO-O,,KERRY-D,,NADER-I,,PARKER-L,,Write-Ins,,"County Total"
"Addison County",53,0.002,7077,0.38,14,0,11147,0.6,220,0.011,14,0,54,0.002,18579
"Bennington County",59,0.003,7616,0.399,11,0,11069,0.58,246,0.012,17,0,47,0.002,19065
"Caledonia County",66,0.004,6765,0.476,30,0.002,7106,0.5,189,0.013,14,0.001,41,0.002,14211
"Chittenden County",282,0.003,26422,0.34,33,0,49369,0.635,1306,0.016,50,0,234,0.003,77696
"Essex County",10,0.003,1591,0.541,3,0.001,1276,0.434,50,0.017,1,0,6,0.002,2937
"Franklin County",73,0.003,8936,0.448,10,0,10598,0.532,239,0.012,9,0,55,0.002,19920
"Grand Isle County",16,0.003,1754,0.43,2,0,2246,0.55,48,0.011,7,0.001,4,0.001,4077
"Lamoille County",41,0.003,4260,0.349,7,0,7636,0.626,194,0.015,14,0.001,29,0.002,12181
"Orange County",64,0.004,6421,0.431,5,0,8159,0.547,190,0.012,14,0,42,0.002,14895
"Orleans County",56,0.004,5666,0.462,7,0,6330,0.517,140,0.011,16,0.001,27,0.002,12242
"Rutland County",125,0.004,14440,0.466,23,0,15904,0.513,357,0.011,30,0.001,96,0.003,30975
"Washington County",87,0.002,11461,0.364,21,0,19177,0.609,537,0.017,35,0.001,130,0.004,31448
"Windham County",62,0.002,7280,0.312,18,0,15489,0.664,361,0.015,19,0,87,0.003,23316
"Windsor County",108,0.003,11491,0.373,60,0.002,18561,0.603,417,0.013,25,0,105,0.003,30767
,,,,,,,,,,,,,,,
"State Totals",1102,0.003,121180,0.388,244,0,184067,0.589,4494,0.014,265,0,957,0.003,312309
